time,snd_data_indication_cnt,rcv_data_indication_cnt
2016/11/23 19:35:43,119011,118859
2016/11/23 19:39:43,69039,64944
2016/11/23 19:43:43,236716,237357
2016/11/23 19:47:43,138569,130244
2016/11/23 19:51:43,354458,355572
2016/11/23 19:55:43,208466,195918
2016/11/23 19:59:43,472427,474032
2016/11/23 20:03:43,278143,261350
2016/11/23 20:07:43,599153,596259
2016/11/23 20:11:43,352881,330437
2016/11/23 20:15:43,750454,708321
2016/11/23 20:19:43,466319,413450
2016/11/23 20:23:43,833644,805090
2016/11/23 20:27:43,575358,526237
2016/11/23 20:31:43,867616,850150
2016/11/23 20:35:43,684951,635925
2016/11/23 20:39:43,1005408,987991
2016/11/23 20:43:43,870909,814621
2016/11/23 20:47:43,1196250,1181013
2016/11/23 20:51:43,1055168,991998
2016/11/23 20:55:43,1376479,1353445
2016/11/23 20:59:43,1279143,1199554
2016/11/23 21:03:43,1489039,1480211
2016/11/23 21:07:43,1556494,1463466
2016/11/23 21:11:43,1403787,1387084
2016/11/23 21:15:43,1608561,1531482
2016/11/23 21:19:43,1494236,1468006
2016/11/23 21:23:43,1648824,1562505
2016/11/23 21:27:43,1602201,1484613
2016/11/23 21:31:43,1711339,1566300
2016/11/23 21:35:43,1679316,1628876
2016/11/23 21:39:43,1751286,1637743
2016/11/23 21:43:43,1750090,1656273
2016/11/23 21:47:43,1796753,1657180
2016/11/23 21:51:43,1831320,1698029
2016/11/23 21:55:43,1759757,1508095
2016/11/23 21:59:43,1926903,1754302
2016/11/23 22:03:43,1745332,1442346
2016/11/23 22:07:43,1954305,1733052
2016/11/23 22:11:43,1571005,1249215
2016/11/23 22:15:43,1947433,1752903
2016/11/23 22:19:43,1938660,1683423
2016/11/23 22:23:43,1639212,1300725
2016/11/23 22:27:43,1251280,885683
2016/11/23 22:31:43,155165,129470
2016/11/23 22:35:43,187447,163327
2016/11/23 22:39:43,94007,88317
2016/11/23 22:43:43,36757,38905
2016/11/23 22:47:43,34176,32456
2016/11/23 22:51:43,34891,36431
2016/11/23 22:55:43,38934,43205
2016/11/23 22:59:43,30672,33610
2016/11/23 23:03:43,7403,7770
2016/11/23 23:07:43,722,733
2016/11/23 23:11:43,31,30
2016/11/23 23:15:43,9,8
2016/11/23 23:19:43,1,0
2016/11/23 23:23:43,8,7
2016/11/23 23:27:43,2,1
2016/11/23 23:31:43,4,3
2016/11/23 23:35:43,1,0
2016/11/23 23:39:43,2,1
2016/11/23 23:43:43,1,0
2016/11/23 23:47:43,3,2
2016/11/23 23:51:43,1,0
2016/11/23 23:55:43,4,3
2016/11/23 23:59:43,2,1
2016/11/24 00:03:43,3,2
2016/11/24 00:07:43,1,0
2016/11/24 00:11:43,3,2
2016/11/24 00:15:43,1,0
2016/11/24 00:19:43,2,1
2016/11/24 00:23:43,1,0
2016/11/24 00:27:43,2,1
2016/11/24 00:31:43,1,0
2016/11/24 00:35:43,1,0
2016/11/24 00:39:43,1,0
2016/11/24 00:43:43,44,29
2016/11/24 00:47:43,32,11
2016/11/24 00:51:43,7,7
2016/11/24 00:55:43,1,0
2016/11/24 00:59:43,2,1
2016/11/24 01:03:43,1,0
2016/11/24 01:07:43,2,1
2016/11/24 01:11:43,1,0
2016/11/24 01:15:43,5,4
2016/11/24 01:19:43,1,0
2016/11/24 01:23:43,885503,722185
2016/11/24 01:27:43,52528,26346
2016/11/24 01:31:43,33,34
2016/11/24 01:35:43,34,37
2016/11/24 01:39:43,35,41
2016/11/24 01:43:43,35,37
2016/11/24 01:47:43,37,41
2016/11/24 01:51:43,36,38
2016/11/24 01:55:43,35,38
2016/11/24 01:59:43,34,35
2016/11/24 02:03:43,36,43
2016/11/24 02:07:43,34,36
2016/11/24 02:11:43,37,38
2016/11/24 02:15:43,36,37
2016/11/24 02:19:43,36,41
2016/11/24 02:23:43,35,41
2016/11/24 02:27:43,34,35
2016/11/24 02:31:43,37,42
2016/11/24 02:35:43,36,35
2016/11/24 02:39:43,33,34
2016/11/24 02:43:43,42,48
2016/11/24 02:47:43,34,38
2016/11/24 02:51:43,36,37
2016/11/24 02:55:43,38,41
2016/11/24 02:59:43,37,39
2016/11/24 03:03:43,5,12
2016/11/24 03:07:43,1,0
2016/11/24 03:11:43,1,0
2016/11/24 03:15:43,1,0
2016/11/24 03:19:43,1,0
2016/11/24 03:23:43,2,1
2016/11/24 03:27:43,1,0
2016/11/24 03:31:43,1,0
2016/11/24 03:35:43,1,0
2016/11/24 03:39:43,687791,546227
2016/11/24 03:43:43,50541,30195
2016/11/24 03:47:43,216656,198553
2016/11/24 03:51:43,50296,35522
2016/11/24 03:55:43,267178,236729
2016/11/24 03:59:43,49904,32287
2016/11/24 04:03:43,218808,200370
2016/11/24 04:07:43,49536,33666
2016/11/24 04:11:43,286500,259198
2016/11/24 04:15:43,50498,34256
2016/11/24 04:19:43,199026,180073
2016/11/24 04:23:43,52209,36045
2016/11/24 04:27:43,178227,164814
2016/11/24 04:31:43,52545,36742
2016/11/24 04:35:43,2758,1720
2016/11/24 04:39:43,5354,2049
2016/11/24 04:43:43,205285,179833
2016/11/24 04:47:43,44773,27585
2016/11/24 04:51:43,177798,152553
2016/11/24 04:55:43,35808,18864
2016/11/24 04:59:43,17,18
2016/11/24 05:03:43,3,2
2016/11/24 05:07:43,2,1
2016/11/24 05:11:43,1,0
2016/11/24 05:15:43,1,0
2016/11/24 05:19:43,2897,1896
2016/11/24 05:23:43,169633,142062
2016/11/24 05:27:43,1131,501
2016/11/24 05:31:43,1,0
2016/11/24 05:35:43,1,0
2016/11/24 05:39:43,1,0
2016/11/24 05:43:43,1,0
2016/11/24 05:47:43,1,0
2016/11/24 05:51:43,1,0
2016/11/24 05:55:43,1,0
2016/11/24 05:59:43,1,0
2016/11/24 06:03:43,1,0
2016/11/24 06:07:43,1,0
2016/11/24 06:11:43,5298,4271
2016/11/24 06:15:43,487,182
2016/11/24 06:19:43,1,0
2016/11/24 06:23:43,1,0
2016/11/24 06:27:43,4905,4410
2016/11/24 06:31:43,1892,1085
2016/11/24 06:35:43,1,0
2016/11/24 06:39:43,1,0
2016/11/24 06:43:43,1,0
2016/11/24 06:47:43,1,0
2016/11/24 06:51:43,1,0
2016/11/24 06:55:43,1,0
2016/11/24 06:59:43,261308,206449
2016/11/24 07:03:43,62499,32132
2016/11/24 07:07:43,1,0
2016/11/24 07:11:43,1,0
2016/11/24 07:15:43,206682,186397
2016/11/24 07:19:43,60796,42248
2016/11/24 07:23:43,1072,857
2016/11/24 07:27:43,598,315
2016/11/24 07:31:43,218649,202925
2016/11/24 07:35:43,62830,44418
2016/11/24 07:39:43,2551,1883
2016/11/24 07:43:43,4570,2117
2016/11/24 07:47:43,1,0
2016/11/24 07:51:43,1,0
2016/11/24 07:55:43,12360,8803
2016/11/24 07:59:43,3957,1720
2016/11/24 08:03:43,4367,3046
2016/11/24 08:07:43,693,265
2016/11/24 08:11:43,1,0
2016/11/24 08:15:43,1,0
2016/11/24 08:19:43,1,0
2016/11/24 08:23:43,1627,1235
2016/11/24 08:27:43,394777,281057
2016/11/24 08:31:43,81578,44011
2016/11/24 08:35:43,1,0
2016/11/24 08:39:43,1,0
2016/11/24 08:43:43,1,0
2016/11/24 08:47:43,1,0
2016/11/24 08:51:43,171645,156998
2016/11/24 08:55:43,49529,32053
2016/11/24 08:59:43,1573,1293
2016/11/24 09:03:43,52,0
2016/11/24 09:07:43,11103,10242
2016/11/24 09:11:43,4705,3053
2016/11/24 09:15:43,1,0
2016/11/24 09:19:43,1,0
2016/11/24 09:23:43,1,0
2016/11/24 09:27:43,1,0
2016/11/24 09:31:43,1,0
2016/11/24 09:35:43,1,0
2016/11/24 09:39:43,1,0
2016/11/24 09:43:43,1,0
2016/11/24 09:47:43,1,0
2016/11/24 09:51:43,1,0
2016/11/24 09:55:43,1,0
2016/11/24 09:59:43,1,0
2016/11/24 10:03:43,1768,1403
2016/11/24 10:07:43,287,208
2016/11/24 10:11:43,8600,7203
2016/11/24 10:15:43,969,834
2016/11/24 12:08:06,113471,113093
2016/11/24 12:12:06,74804,70710
2016/11/24 12:16:06,225192,225817
2016/11/24 12:20:06,150104,141789
2016/11/24 12:24:06,337124,338238
2016/11/24 12:28:06,225792,213227
2016/11/24 12:32:06,451654,452700
2016/11/24 12:36:06,300744,284399
2016/11/24 12:45:10,44711,45681
2016/11/24 12:49:10,92118,95946
2016/11/24 12:53:10,140124,146157
2016/11/24 12:57:10,164000,221565
2016/11/24 13:01:10,167785,305067
2016/11/24 13:05:10,174997,298894
2016/11/24 13:09:10,164617,199524
2016/11/24 13:13:10,164316,179439
2016/11/24 13:17:10,228681,240789
2016/11/24 13:21:10,274385,281091
2016/11/24 13:25:10,304727,320029
2016/11/24 13:29:10,401037,405258
2016/11/24 13:33:10,373716,384023
2016/11/24 13:37:10,513390,510988
2016/11/24 13:41:10,435221,446326
2016/11/24 13:45:10,638737,635325
2016/11/24 13:49:10,519946,528092
2016/11/24 13:53:10,768899,753476
2016/11/24 13:57:10,593236,583338
2016/11/24 14:01:10,931442,869473
2016/11/24 14:05:10,641410,635650
2016/11/24 14:09:10,1066906,1006328
2016/11/24 14:13:10,613247,596852
