time,snd_data_indication_cnt,rcv_data_indication_cnt
2016/11/22 11:01:03,95220,96413
2016/11/22 11:05:03,215239,213859
2016/11/22 11:09:03,80336,83236
2016/11/22 11:13:03,214899,214027
2016/11/22 11:17:03,191289,196387
2016/11/22 11:21:03,251556,253701
2016/11/22 11:25:03,301368,305508
2016/11/22 11:29:03,289941,295427
2016/11/22 11:33:03,300264,304258
2016/11/22 11:37:03,289842,295015
2016/11/22 11:41:03,299950,303997
2016/11/22 11:45:03,290045,295168
2016/11/22 11:49:03,299831,304548
2016/11/22 11:53:03,290034,295189
2016/11/22 11:57:03,299762,304700
2016/11/22 12:01:03,290606,296095
2016/11/22 12:05:03,299363,304134
2016/11/22 12:09:03,290634,295903
2016/11/22 12:13:03,300215,304495
2016/11/22 12:17:03,290952,296261
2016/11/22 12:21:03,299263,303982
2016/11/22 12:25:03,290783,296047
2016/11/22 12:29:03,299063,303215
2016/11/22 12:33:03,291075,296300
2016/11/22 12:37:03,339993,331303
2016/11/22 12:41:03,388443,374732
2016/11/22 12:45:03,330799,315590
2016/11/22 12:49:03,214660,213594
2016/11/22 12:53:03,84083,86916
2016/11/22 12:57:03,134506,131391
2016/11/22 13:01:03,4401,0
2016/11/22 13:05:03,1901,0
2016/11/22 13:09:03,4101,0
2016/11/22 13:13:03,1901,0
2016/11/22 13:17:03,4101,0
2016/11/22 13:21:03,1901,0
2016/11/22 13:25:03,4101,0
2016/11/22 13:29:03,1901,0
2016/11/22 13:33:03,4101,0
2016/11/22 13:37:03,1901,0
2016/11/22 13:41:03,4101,0
2016/11/22 13:45:03,1901,0
2016/11/22 13:49:03,4101,0
2016/11/22 13:53:03,1901,0
2016/11/22 13:57:03,4101,0
2016/11/22 14:01:03,1901,0
2016/11/22 14:05:03,4101,0
2016/11/22 14:09:03,1901,0
2016/11/22 14:13:03,4101,0
2016/11/22 14:17:03,1901,0
2016/11/22 14:21:03,4101,0
2016/11/22 14:25:03,1901,0
2016/11/22 14:29:03,4101,0
2016/11/22 14:33:03,1901,0
2016/11/22 14:37:03,4101,0
2016/11/22 14:41:03,1901,0
2016/11/22 14:45:03,4101,0
2016/11/22 14:49:03,182624,181269
2016/11/22 14:53:03,297620,301632
2016/11/22 14:57:03,292831,298090
2016/11/22 15:01:03,297296,301341
2016/11/22 15:05:03,292905,298060
2016/11/22 15:09:03,297173,301293
2016/11/22 15:13:03,293021,298218
2016/11/22 15:17:03,297121,301222
2016/11/22 15:21:03,293144,298516
2016/11/22 15:25:03,296948,301061
2016/11/22 15:29:03,293218,298417
2016/11/22 15:33:03,296957,301016
2016/11/22 15:37:03,331720,325637
2016/11/22 15:41:03,390330,376618
2016/11/22 15:45:03,441500,425215
2016/11/22 15:49:03,528286,480532
2016/11/22 15:53:03,590323,512177
2016/11/22 15:57:03,558211,532315
2016/11/22 16:01:03,542586,535707
2016/11/22 16:05:03,546033,538080
2016/11/22 16:09:03,542455,535971
2016/11/22 16:13:03,544522,537435
2016/11/22 16:17:03,542724,536152
2016/11/22 16:21:03,545460,537331
2016/11/22 16:25:03,542757,536255
2016/11/22 16:29:03,545209,537262
2016/11/22 16:33:03,541976,536487
2016/11/22 16:37:03,545153,537104
2016/11/22 16:41:03,543123,536562
2016/11/22 16:45:03,545139,537214
2016/11/22 16:49:03,542941,536670
2016/11/22 16:53:03,544063,537005
2016/11/22 16:57:03,543164,536587
2016/11/22 17:01:03,545034,536928
2016/11/22 17:05:03,543161,536786
2016/11/22 17:09:03,544659,536844
2016/11/22 17:13:03,542604,536884
2016/11/22 17:17:03,544921,536835
2016/11/22 17:21:03,543531,536885
2016/11/22 17:25:03,544574,536597
2016/11/22 17:29:03,543311,536922
2016/11/22 17:33:03,543616,536504
2016/11/22 17:37:03,543584,536950
2016/11/22 17:41:03,544557,536416
2016/11/22 17:45:03,543622,537261
2016/11/22 17:49:03,544324,536433
2016/11/22 17:53:03,543038,537451
2016/11/22 17:57:03,544309,536327
2016/11/22 18:01:03,543907,537259
2016/11/22 18:05:03,544290,536383
2016/11/22 18:09:03,543713,537385
2016/11/22 18:13:03,543281,536159
2016/11/22 18:17:03,544031,537533
2016/11/22 18:21:03,544308,536130
2016/11/22 18:25:03,544004,537728
2016/11/22 18:29:03,544213,536266
2016/11/22 18:33:03,543386,538024
2016/11/22 18:37:03,543996,535975
2016/11/22 18:41:03,544417,537950
2016/11/22 18:45:03,547770,538880
2016/11/22 18:49:03,543955,537418
2016/11/22 18:53:03,542971,535880
2016/11/22 18:57:03,544362,537995
2016/11/22 19:01:03,544301,535991
2016/11/22 19:05:03,544517,538040
2016/11/22 19:09:03,543345,535670
2016/11/22 19:13:03,543639,538192
2016/11/22 19:17:03,543561,535521
2016/11/22 19:21:03,544890,538139
2016/11/22 19:25:03,543565,535493
2016/11/22 19:29:03,544378,538315
2016/11/22 19:33:03,542501,535410
2016/11/22 19:37:03,544705,538360
2016/11/22 19:41:03,543593,535326
2016/11/22 19:45:03,544880,538440
2016/11/22 19:49:03,543098,535289
2016/11/22 19:53:03,543991,538517
2016/11/22 19:57:03,543200,535186
2016/11/22 20:01:03,545225,538603
2016/11/22 20:05:03,543296,535230
2016/11/22 20:09:03,544721,538721
2016/11/22 20:13:03,542227,535091
2016/11/22 20:17:03,545061,538609
2016/11/22 20:21:03,543352,534998
2016/11/22 20:25:03,545284,538773
2016/11/22 20:29:03,542680,534980
2016/11/22 20:33:03,544273,538729
2016/11/22 20:37:03,542932,534936
2016/11/22 20:41:03,545466,538881
2016/11/22 20:45:03,543552,535383
2016/11/22 20:49:03,545330,539059
2016/11/22 20:53:03,542209,535035
2016/11/22 20:57:03,545333,538901
2016/11/22 21:01:03,543005,534741
2016/11/22 21:05:03,545466,538991
2016/11/22 21:09:03,542515,534784
2016/11/22 21:13:03,544637,539111
2016/11/22 21:17:03,542626,534643
2016/11/22 21:21:03,545865,539229
2016/11/22 21:25:03,542646,534471
2016/11/22 21:29:03,545358,539314
2016/11/22 21:33:03,541595,535118
2016/11/22 21:37:03,545516,539260
2016/11/22 21:41:03,542566,534437
2016/11/22 21:45:03,545937,539497
2016/11/22 21:49:03,541921,534274
2016/11/22 21:53:03,545068,539496
2016/11/22 21:57:03,542515,534543
2016/11/22 22:01:03,546270,539685
2016/11/22 22:05:03,542137,534089
2016/11/22 22:09:03,545733,539522
2016/11/22 22:13:03,541101,534623
2016/11/22 22:17:03,546037,539887
2016/11/22 22:21:03,542310,533994
2016/11/22 22:25:03,546331,539798
2016/11/22 22:29:03,541735,534003
